date,open,high,low,close,volume,,
2014-10-28,906.28,906.28,906.28,906.28,0,mandg.co.uk,
2014-10-27,908.07,908.07,908.07,908.07,0,mandg.co.uk,
2014-10-24,911.37,911.37,911.37,911.37,0,mandg.co.uk,
2014-10-23,914.2,914.2,914.2,914.2,0,mandg.co.uk,
2014-10-22,910.78,910.78,910.78,910.78,0,mandg.co.uk,
2014-10-21,907.41,907.41,907.41,907.41,0,mandg.co.uk,
2014-10-20,909.74,909.74,909.74,909.74,0,mandg.co.uk,
2014-10-17,912.6,912.6,912.6,912.6,0,mandg.co.uk,
2014-10-16,920.45,920.45,920.45,920.45,0,mandg.co.uk,
2014-10-15,919.07,919.07,919.07,919.07,0,mandg.co.uk,
2014-10-14,916.88,916.88,916.88,916.88,0,mandg.co.uk,
2014-10-13,907.21,907.21,907.21,907.21,0,mandg.co.uk,
2014-10-10,908.55,908.55,908.55,908.55,0,mandg.co.uk,
2014-10-09,901.82,901.82,901.82,901.82,0,mandg.co.uk,
2014-10-08,906.1,906.1,906.1,906.1,0,mandg.co.uk,
2014-10-07,904.17,904.17,904.17,904.17,0,mandg.co.uk,
2014-10-06,906.57,906.57,906.57,906.57,0,mandg.co.uk,
2014-10-03,902.99,902.99,902.99,902.99,0,mandg.co.uk,
2014-10-02,900.05,900.05,900.05,900.05,0,mandg.co.uk,
2014-10-01,897.52,897.52,897.52,897.52,0,mandg.co.uk,
2014-09-30,896.1,896.1,896.1,896.1,0,mandg.co.uk,
2014-09-29,896.91,896.91,896.91,896.91,0,mandg.co.uk,
2014-09-26,894.69,894.69,894.69,894.69,0,mandg.co.uk,
2014-09-25,892.75,892.75,892.75,892.75,0,mandg.co.uk,
2014-09-24,890.94,890.94,890.94,890.94,0,mandg.co.uk,
2014-09-23,893.5,893.5,893.5,893.5,0,mandg.co.uk,
2014-09-22,892.84,892.84,892.84,892.84,0,mandg.co.uk,
2014-09-19,888.23,888.23,888.23,888.23,0,mandg.co.uk,
2014-09-18,891.25,891.25,891.25,891.25,0,mandg.co.uk,
2014-09-17,900.64,900.64,900.64,900.64,0,mandg.co.uk,
2014-09-16,908.58,908.58,908.58,908.58,0,mandg.co.uk,
2014-09-15,904.09,904.09,904.09,904.09,0,mandg.co.uk,
2014-09-12,902.69,902.69,902.69,902.69,0,mandg.co.uk,
2014-09-11,901.98,901.98,901.98,901.98,0,mandg.co.uk,
2014-09-10,908.89,908.89,908.89,908.89,0,mandg.co.uk,
2014-09-09,907.04,907.04,907.04,907.04,0,mandg.co.uk,
2014-09-08,910.2,910.2,910.2,910.2,0,mandg.co.uk,
2014-09-05,900.81,900.81,900.81,900.81,0,mandg.co.uk,
2014-09-04,896.46,896.46,896.46,896.46,0,mandg.co.uk,
2014-09-03,896.28,896.28,896.28,896.28,0,mandg.co.uk,
2014-09-02,894.16,894.16,894.16,894.16,0,mandg.co.uk,
2014-09-01,891.38,891.38,891.38,891.38,0,mandg.co.uk,
2014-08-29,893.86,893.86,893.86,893.86,0,mandg.co.uk,
2014-08-28,893.43,893.43,893.43,893.43,0,mandg.co.uk,
2014-08-27,892.77,892.77,892.77,892.77,0,mandg.co.uk,
2014-08-26,894.52,894.52,894.52,894.52,0,mandg.co.uk,
2014-08-22,895.11,895.11,895.11,895.11,0,mandg.co.uk,
2014-08-21,893.92,893.92,893.92,893.92,0,mandg.co.uk,
2014-08-20,891.81,891.81,891.81,891.81,0,mandg.co.uk,
2014-08-19,892.98,892.98,892.98,892.98,0,mandg.co.uk,
2014-08-18,890.3,890.3,890.3,890.3,0,mandg.co.uk,
2014-08-15,890.76,890.76,890.76,890.76,0,mandg.co.uk,
2014-08-14,890.57,890.57,890.57,890.57,0,mandg.co.uk,
2014-08-13,888.82,888.82,888.82,888.82,0,mandg.co.uk,
