Ticker,Cleaned symbols
UBS ETF MSCI USA SF USD A acc GBP,UC38
UBS ETF MSCI USA SRI USD A dis GBP,UC46
UBS ETF MSCI USA USD A dis GBP,UC04
UBS ETF MSCI USA Value USD A dis GBP,UC07
UBS ETF MSCI World SRI USD A dis GBP,UC44
UBS ETF MSCI World USD A dis GBP,UC10
UBS ETF MSCI World USD A dis GBP,UC55
UBS ETF S&P 500 SF USD A acc GBP,UC41
UBS ETF S&P 500 USD A dis GBP,UC13
UBS ETF Solactive Glbl Oil Eqs USD A dis GBP,UC51
UBS ETF Solactive Glbl Pure Gld Mnrs USD GBP,UC53
Vanguard FTSE 100 ETF,VUKE
Vanguard FTSE 250 ETF,VMID
Vanguard FTSE All-World ETF GBP,VWRL
Vanguard FTSE All-World High Div Yld ETF GBP,VHYL
Vanguard FTSE Dev Asia Pac exJpn ETF GBP,VAPX
Vanguard FTSE Developed Europe ETF GBP,VEUR
Vanguard FTSE Developed Europe ex UK ETF GBP,VERX
Vanguard FTSE Developed World ETF GBP,VEVE
Vanguard FTSE Emerging Markets ETF GBP,VFEM
Vanguard FTSE Japan ETF GBP,VJPN
Vanguard FTSE North America ETF GBP,VNRT
Vanguard S&P 500 ETF GBP,VUSA
Vanguard UK Gilt UCITS ETF,VGOV
WisdomTree Emerg Mkts Eq Inc ETF GBP,DEM
WisdomTree Europe Equity Income ETF GBP,EEI
WisdomTree Europe SmallCap Div ETF GBP,DFE
WisdomTree Germany Equity ETF GBP Hdg,DXGP
WisdomTree UK Equity Income ETF,WUKD
WisdomTree US Equity Income ETF GBP,DHS
WisdomTree US SmallCap Dividend ETF GBP,DESE
